city,event_id,pass_id,allocated_cost,value_proxy,selected_segment_count,remaining_total,objective_before_pass
Austin,478,0,0.07295715764,0.009790364188,19,1.386185995,0.1342685328
Austin,478,1,0.07295715764,0.006853956295,28,1.313228837,0.1329696025
Austin,478,2,0.07295715764,0.006539293641,18,1.24027168,0.1320523108
Austin,478,3,0.07295715764,0.006251438831,18,1.167314522,0.1311742894
Austin,478,4,0.07295715764,0.006105539165,21,1.094357365,0.1303349179
Austin,478,5,0.07295715764,0.005847582132,17,1.021400207,0.1295151361
Austin,478,6,0.07295715764,0.005567049912,35,0.9484430493,0.1287299898
Austin,478,7,0.07295715764,0.00538800851,23,0.8754858916,0.1279825102
Austin,478,8,0.07295715764,0.00519812821,26,0.802528734,0.1272590702
Austin,478,9,0.07295715764,0.005090684395,24,0.7295715764,0.1265611252
Austin,478,10,0.07295715764,0.004941019117,30,0.6566144187,0.1258776064
Austin,478,11,0.07295715764,0.004798542047,25,0.5836572611,0.1252141831
Austin,478,12,0.07295715764,0.004646304698,20,0.5107001035,0.1245712289
Austin,478,13,0.07295715764,0.004580922968,25,0.4377429458,0.1239474271
Austin,478,14,0.07295715764,0.004496705862,27,0.3647857882,0.1233323533
Austin,478,15,0.07295715764,0.004377417038,31,0.2918286305,0.1227285872
Austin,478,16,0.07295715764,0.004270061074,26,0.2188714729,0.1221408379
Austin,478,17,0.07295715764,0.004167496474,27,0.1459143153,0.1215675041
Austin,478,18,0.07295715764,0.004105438764,21,0.07295715764,0.1210080667
Austin,478,19,0.07295715764,0.004051240426,18,3.566591467e-15,0.1204568355
Austin,479,0,0.1013258718,0.01170742612,19,1.925191564,0.1559423619
Austin,479,1,0.1013258718,0.00843290592,18,1.823865692,0.1541166782
Austin,479,2,0.1013258718,0.007970109064,24,1.72253982,0.1528647561
Austin,479,3,0.1013258718,0.007544032567,18,1.621213949,0.1516218784
Austin,479,4,0.1013258718,0.007352627757,20,1.519888077,0.1504454442
Austin,479,5,0.1013258718,0.007079992746,19,1.418562205,0.149298858
Austin,479,6,0.1013258718,0.006732679864,29,1.317236333,0.1481947872
Austin,479,7,0.1013258718,0.006506324439,30,1.215910461,0.1471448772
