city,intervention,rank,unit,total_cost,primitive_cost_share,origin_exposure_rank_pct,initial_deficit_rank_pct,destination_importance_rank_pct,out_degree_rank_pct,in_degree_rank_pct
Austin,C,1,63,0.3054776277329233,0.21370070057341123,0.8164251207729468,1.0,1.0,0.5410628019323671,0.9347826086956522
Austin,C,2,3,0.13650447721263478,0.09549341674622198,0.6038647342995169,0.9951690821256038,0.9951690821256038,0.751207729468599,0.8140096618357487
Austin,C,3,183,0.13589925375875941,0.09507002509866831,0.4057971014492754,0.9903381642512077,0.9903381642512077,0.7294685990338164,0.9347826086956522
Austin,C,4,165,0.13403404870673669,0.09376519754292073,0.9227053140096618,0.9855072463768116,0.9855072463768116,0.9879227053140096,0.9347826086956522
Austin,C,5,105,0.1335573884525571,0.09343174389196225,0.8840579710144928,0.9806763285024155,0.9806763285024155,0.9106280193236715,0.9347826086956522
Austin,C,6,128,0.1184624596130192,0.08287189735899346,0.7101449275362319,0.9758454106280193,0.9758454106280193,0.9516908212560387,0.9347826086956522
Austin,C,7,16,0.118386773672448,0.08281895031130405,1.0,0.9710144927536232,0.9710144927536232,0.9879227053140096,0.9347826086956522
Austin,C,8,144,0.1178615986065152,0.08245155751613789,0.8115942028985508,0.966183574879227,0.966183574879227,0.785024154589372,0.9347826086956522
Austin,R,1,63,0.6068135696935435,0.24504202682583143,0.8164251207729468,1.0,1.0,0.5410628019323671,0.9347826086956522
Austin,R,2,3,0.2081767626336484,0.08406545008469672,0.6038647342995169,0.9951690821256038,0.9951690821256038,0.751207729468599,0.8140096618357487
Austin,R,3,183,0.207253763902248,0.08369272691040408,0.4057971014492754,0.9903381642512077,0.9903381642512077,0.7294685990338164,0.9347826086956522
Austin,R,4,165,0.204409224607224,0.0825440517504362,0.9227053140096618,0.9855072463768116,0.9855072463768116,0.9879227053140096,0.9347826086956522
Austin,R,5,105,0.2036822917577124,0.08225050343888386,0.8840579710144928,0.9806763285024155,0.9806763285024155,0.9106280193236715,0.9347826086956522
Austin,R,6,128,0.2032444160027296,0.08207368148258999,0.7101449275362319,0.9758454106280193,0.9758454106280193,0.9516908212560387,0.9347826086956522
Austin,R,7,16,0.2031145626733176,0.08202124441687758,1.0,0.9710144927536232,0.9710144927536232,0.9879227053140096,0.9347826086956522
Austin,R,8,144,0.1516601452657365,0.06124304274109168,0.8115942028985508,0.966183574879227,0.966183574879227,0.785024154589372,0.9347826086956522
Austin,S,1,16,0.052809786295062,0.1295452090781033,1.0,0.9710144927536232,0.9710144927536232,0.9879227053140096,0.9347826086956522
Austin,S,2,177,0.04798949969239499,0.11772079016699577,0.9903381642512077,0.8888888888888888,0.8888888888888888,0.8502415458937198,0.5144927536231884
Austin,S,3,80,0.0450981140266341,0.11062806764576395,0.9806763285024155,0.9371980676328503,0.9371980676328503,0.8502415458937198,0.8140096618357487
Austin,S,4,205,0.042667425772147,0.10466546032953884,0.9951690821256038,0.4251207729468599,0.4251207729468599,0.8502415458937198,0.4613526570048309
Austin,S,5,159,0.042100976690861006,0.10327593066438746,0.9855072463768116,0.37681159420289856,0.37681159420289856,0.7004830917874396,0.26811594202898553
Austin,S,6,118,0.0359803922769176,0.08826181219864736,0.9758454106280193,0.6956521739130435,0.6956521739130435,0.9106280193236715,0.5628019323671497
Austin,S,7,97,0.0353956746598336,0.08682746884543671,0.9710144927536232,0.6280193236714976,0.6280193236714976,0.9516908212560387,0.2246376811594203
Austin,S,8,59,0.0350317646108296,0.08593477817783116,0.966183574879227,0.5555555555555556,0.5555555555555556,0.9879227053140096,0.8140096618357487
Chicago,C,1,849,1.011883973633633,0.06201863823958026,1.0,1.0,1.0,1.0,0.9982993197278912
Chicago,C,2,411,1.0032802382911263,0.06149131300900081,0.9988662131519275,0.9988662131519275,0.9977324263038548,0.9943310657596371,0.9982993197278912
Chicago,C,3,719,1.0032183285734844,0.061487518545918086,0.9897959183673469,0.9977324263038548,0.9988662131519275,0.9977324263038548,0.9982993197278912
