city,top_k_units,event_id_a,event_id_b,jaccard,intersection_count,union_count
Austin,20,482,490,1,20,20
Austin,20,482,491,0.4347826087,10,23
Austin,20,482,492,1,20,20
Austin,20,483,484,1,20,20
Austin,20,483,485,1,20,20
Austin,20,483,486,1,20,20
Austin,20,483,487,1,20,20
Austin,20,483,488,1,20,20
Austin,20,483,489,0.5384615385,14,26
Austin,20,483,490,1,20,20
Austin,20,483,491,0.4347826087,10,23
Austin,20,483,492,1,20,20
Austin,20,484,485,1,20,20
Austin,20,484,486,1,20,20
Austin,20,484,487,1,20,20
Austin,20,484,488,1,20,20
Austin,20,484,489,0.5384615385,14,26
Austin,20,484,490,1,20,20
Austin,20,484,491,0.4347826087,10,23
Austin,20,484,492,1,20,20
Austin,20,485,486,1,20,20
Austin,20,485,487,1,20,20
Austin,20,485,488,1,20,20
Austin,20,485,489,0.5384615385,14,26
Austin,20,485,490,1,20,20
Austin,20,485,491,0.4347826087,10,23
Austin,20,485,492,1,20,20
Austin,20,486,487,1,20,20
Austin,20,486,488,1,20,20
Austin,20,486,489,0.5384615385,14,26
Austin,20,486,490,1,20,20
Austin,20,486,491,0.4347826087,10,23
Austin,20,486,492,1,20,20
Austin,20,487,488,1,20,20
Austin,20,487,489,0.5384615385,14,26
Austin,20,487,490,1,20,20
Austin,20,487,491,0.4347826087,10,23
Austin,20,487,492,1,20,20
Austin,20,488,489,0.5384615385,14,26
Austin,20,488,490,1,20,20
Austin,20,488,491,0.4347826087,10,23
Austin,20,488,492,1,20,20
Austin,20,489,490,0.5384615385,14,26
Austin,20,489,491,0.65,13,20
Austin,20,489,492,0.5384615385,14,26
Austin,20,490,491,0.4347826087,10,23
Austin,20,490,492,1,20,20
Austin,20,491,492,0.4347826087,10,23
Chicago,5,145,146,1,5,5
Chicago,5,145,147,1,5,5
Chicago,5,145,149,1,5,5
Chicago,5,145,150,1,5,5
Chicago,5,145,152,1,5,5
Chicago,5,145,153,1,5,5
Chicago,5,145,154,1,5,5
Chicago,5,145,155,1,5,5
Chicago,5,145,156,1,5,5
Chicago,5,145,157,1,5,5
Chicago,5,145,158,1,5,5
Chicago,5,145,159,1,5,5
Chicago,5,146,147,1,5,5
Chicago,5,146,149,1,5,5
Chicago,5,146,150,1,5,5
Chicago,5,146,152,1,5,5
Chicago,5,146,153,1,5,5
Chicago,5,146,154,1,5,5
Chicago,5,146,155,1,5,5
Chicago,5,146,156,1,5,5
Chicago,5,146,157,1,5,5
Chicago,5,146,158,1,5,5
Chicago,5,146,159,1,5,5
Chicago,5,147,149,1,5,5
Chicago,5,147,150,1,5,5
Chicago,5,147,152,1,5,5
Chicago,5,147,153,1,5,5
Chicago,5,147,154,1,5,5
Chicago,5,147,155,1,5,5
Chicago,5,147,156,1,5,5
Chicago,5,147,157,1,5,5
Chicago,5,147,158,1,5,5
Chicago,5,147,159,1,5,5
Chicago,5,149,150,1,5,5
Chicago,5,149,152,1,5,5
Chicago,5,149,153,1,5,5
Chicago,5,149,154,1,5,5
Chicago,5,149,155,1,5,5
Chicago,5,149,156,1,5,5
Chicago,5,149,157,1,5,5
Chicago,5,149,158,1,5,5
Chicago,5,149,159,1,5,5
Chicago,5,150,152,1,5,5
Chicago,5,150,153,1,5,5
Chicago,5,150,154,1,5,5
Chicago,5,150,155,1,5,5
Chicago,5,150,156,1,5,5
Chicago,5,150,157,1,5,5
Chicago,5,150,158,1,5,5
Chicago,5,150,159,1,5,5
Chicago,5,152,153,1,5,5
Chicago,5,152,154,1,5,5
Chicago,5,152,155,1,5,5
Chicago,5,152,156,1,5,5
Chicago,5,152,157,1,5,5
Chicago,5,152,158,1,5,5
Chicago,5,152,159,1,5,5
Chicago,5,153,154,1,5,5
Chicago,5,153,155,1,5,5
Chicago,5,153,156,1,5,5
Chicago,5,153,157,1,5,5
Chicago,5,153,158,1,5,5
Chicago,5,153,159,1,5,5
Chicago,5,154,155,1,5,5
Chicago,5,154,156,1,5,5
Chicago,5,154,157,1,5,5
Chicago,5,154,158,1,5,5
Chicago,5,154,159,1,5,5
Chicago,5,155,156,1,5,5
Chicago,5,155,157,1,5,5
Chicago,5,155,158,1,5,5
Chicago,5,155,159,1,5,5
Chicago,5,156,157,1,5,5
Chicago,5,156,158,1,5,5
Chicago,5,156,159,1,5,5
Chicago,5,157,158,1,5,5
Chicago,5,157,159,1,5,5
Chicago,5,158,159,1,5,5
Chicago,10,145,146,0.8181818182,9,11
Chicago,10,145,147,0.8181818182,9,11
